singer,song name,date,text,poet
"אבי ביטר
",פגוע וכואב,04/08/11,"לא היה לי מה לאמר
הכל היה נראה מוזר
הרגשתי שאני נשבר
כמו מלך שכבודו נגמר
כשמפני נמחק הצחוק
החברים הלכו רחוק
מר החליף את המתוק
רציתי לעולם לצעוק...


אני עוד שר אני קיים
ומנצח את כולם
תודה לך אדון עולם
שבזכותך אני קיים

כשמעיניי זלגו דמעות
סגרו עליי את הדלתות
באמונה ובתפילות
לא אבדו לי התקוות
ידעתי שהראה את האור
ואלוקים לי יעזור
הכל השארתי מאחור
אני חוזר שוב אל האור


אני עוד שר אני קיים
ומנצח את כולם
תודה תודה אדון עולם
שבזכותך אני קיים

אני עוד שר אני קיים
ומנצח את כולם
תודה לך אדון עולם
שבזכותך אני קיים",אבי ביטר
"אבי ביטר
",נשרף באהבה,16/04/12,"צהוב שחור תמיד מנצחים
ביתר בשבילי כל החיים
יאללה ביתר בנשמה
יאללה ביתר תמיד אלופה 

תק תק ניצחתי תק תק ניצחתי 


יאללה ביתר ירושלים
צהוב ושחור זה תמיד בעיניים
אנחנו אימפריה ועד השמים
יאללה ביתר אלופה 
יאללה ביתר ירושלים
צהוב ושחור זה תמיד בעיניים
אנחנו אימפריה ועד השמים
יאללה ביתר אלופה 

שלום להפועל שלום למכבי 
גיא גידמק המלך של טדי
בכל העולם ביתר זה אימפריה 
כל החיים נלך אחריה 

תק תק ניצחתי תק תק ניצחתי 


יאללה ביתר ירושלים
צהוב ושחור זה תמיד בעיניים
אנחנו אימפריה ועד השמים
יאללה ביתר אלופה 
יאללה ביתר ירושלים
צהוב ושחור זה תמיד בעיניים
אנחנו אימפריה ועד השמים
יאללה ביתר אלופה",אבי ביטר 
"אבי ביטר
",נסיכים ונסיכות,27/07/11,"לא חשוב אני הולך 
ומשאיר הכל אצלך 
נמאס מכל המריבות 
אין לי כח בשבילך 
אני נשבע בכבוד שלי 
שאת אותי לא תשכחי 
עד יומך האחרון 
רק אותי את תאהבי 

בסוף תשברי ותרצי לפגוש אותי 
אני גבר אמיתי 
יש לי את הכבוד שלי 

אם תרצי ותנסי 
את אותי לא תשכחי וולה 
יום יבוא ותראי 
שאת אותי לא תנצחי וולה 
את אותי לא תנצחי 

אין גיבורים באהבות 
אין מנצחים יש אכזבות 
לא אזיל דמעה אחת 
את לא שווה את הכעס 
את עוד תבכי ותסבלי 
אני אשבור לך את הלב 
נשבע לך בכבוד שלי 
שאת אותי לא תנצחי 

לא היית רעיה לזאת האהבה 
יום יבוא ותדעי שעשית 
טעות גדולה",אבי ביטר
"אבי ביטר
",מתהלך לבדי,27/07/11,"ביליתי כל הלילה עם כל החברים 
רציתי רק להשתחרר מכל העצבים 
ישבתי לי במועדון, שתיתי וודקה עם לימון 
לא היית כלל חסרה, הרגשתי שיגעון 

אני חופשי כמו פרפר, בלעדייך מאושר 
חי בכיף את הלילות, לא רוצה עוד אהבות 
אז מה אם את כזאת יפה, יש לך שיגעונות 
היו בינינו ניסיונות, איתך קשה לחיות 

על יד הבר במועדון מזמין עוד וודקה עם לימון 
כמו מלך בארמון, בלעדייך שיגעון 
וכל החברים רוקדים, אל תוך הקצב נסחפים 
אני עלייך לא חושב, לא מתאהב 

אני חופשי כמו פרפר... 

הרקדנית רוקדת, אלי היא מסתכלת 
אני מרגיש כזה חופשי, אותי היא מטרפת 
והיא אלי צוחקת, עוד קריצה קורצת 
הוודקה שוב עולה לראש, אני מרגיש סרבוש 

אני חופשי כמו פרפר...",אבי ביטר
"אבי ביטר
",מלא עוד כוס חבר,01/08/11,"נתתי לך מלב אוהב 
מה שרצית היית מלכה 
בניתי לך בית שלם 
וכל מה שנפשך חשקה 

שיחקת אותה אישה טובה 
מה לי עשית כפויית טובה 
את מבלה עם גבר זר 
איך זה ליבך כל כך אכזר 

שרפתי לי את הלב אישה ואת הנשמה 
אין בעולם מילה שתביא לי נחמה 
השפלת אותי אישה רמסת גם את כבודי 
ואיך יכולת אישה לבוא למיטתי 
אוף אוף אוףף 

הבאתי לך אל המיטה 
קפה שחור כמו שאהבת 
היית יפה כמו נסיכה 
קניתי לך מה שחשקת 

שיחקת אותה אישה טובה...",דני שושן
"אבי ביטר
",מיאמי,01/08/11,"ספרי לי למה את בוכה 
בלילות את עצובה 
כבר שנים את בודדה 
מה עשתה לך האהבה 

אהבתי והלב יעיד 
זו אהבה ללא עתיד 
הוא עזב אותי לעד 
זה כואב וזה מפחיד 

ככה זה באהבות 
נשארים רק זיכרונות 
תנגבי את הדמעות 
לא מגיע לך לבכות 
לא עוצרות לי הדמעות 
ליבי נשרף בלהבות 
שורפים אותי הזכירונות 
ולמה הדמעות מרות? 

איש לא יבין את כאבך 
ואת הסוד שבליבך 
מה עשה לך אהובך 
איך הרס את עולמך 

לא רוצה עוד אהבות 
לא רוצה יותר לבכות 
שרפו אותי האהבות 
לא השאירו לי דמעות 

ככה זה באהבות... 

""ככה זה באהבות 
זה עולם מלא דמעות 
גם אני אהבתי פעם 
הייתי כמו ציפו פצועה 
בלי כנפיים 
בין שתי ערים גבוהות גבוהות 
מצאו אותי שמה שבור מהאהבה",אבי ביטר
"אבי ביטר
",מי את,01/08/11,"באהבה הזאת היו הרבה שקרים 
ולא נוכל לדעת את מי להאשים 
לא נוכל שוב לתקן את כול הסדקים 
ואת לא יכולה אותי להאשים 

באהבה הזאת רק אני מפסיד 
את דרך הגורל לא נדע תמיד 
כמו סיפור ישן שבאגדות 
גם נסיך מפסיד מול המזלות 

אם המזלות תמיד היו שווים 
אז אני ואת היינו מסתדרים 
מה שווה האהבה שמלאה סדקים 
איך מול האהבה גם גיבורים נופלים 

יכולנו להמשיך לאהוב לעד 
אבל עכשיו אנחנו כול אחד לבד 
אז בואי נעזוב את זאת האהבה 
אולי אני אשם אולי את אשמה 

יש אהבות צוחקות יש אהבות בוכות 
את דרך הגורל לא נצליח לשנות 
חבל על הכאב על הדמעות 
מול האהבה הזאת לא נשארו תקוות 

אם המזלות תמיד היו שווים...",אבי ביטר
"אבי ביטר
",מי אשם באהבה,27/07/11,"עומדות דמעות לך בעיניים 
את מסתכלת בתמונות 
אל תבכי יותר ילדה 
כי נגמרה האהבה 
הכל נגמר כמה חבל 
זו אהבה ללא גורל 
אסור ילדה להתייאש 
אולי עוד פעם ניפגש 

ככה זה באהבות 
גם לי זלגו הרבה דמעות 
היו לי ים של חלומות 
נישרפתי גם באהבות 
תנגבי את הדמעות 
באהבה אין גבולות 
גם לי היו הרבה תקוות 
ככה זה באהבות 

קשה לשכוח את הטוב 
איך תוכלי שוב לאהוב 
זה היה חלום גדול 
והגורל הרס הכל 
אולי אסור להתאהב 
אין אהבה ללא כאב 
קשה לשכוח את הכל 
זה היה חלום גדול 

ככה זה באהבות...",דלקס מקיס
"אבי ביטר
",מגיע לי שהלכת,27/07/11,"חי אני כמו הדרוויש 
לא עושה חשבון לאיש 
חי אני מיום ליום 
חי אני כמו בחלום 
איך עובר יום 
לא מרגיש 
לא מבקש טובה מאיש 
לפעמים מזלי ביש 
אלו הם חיי דרוויש 

כמו זאב אני בודד 
בלילות אני נודד 
מבר לבר על שפת הים 
וצוחק על העולם 
עם סיגריה וכוסית 
על הבר תמיד חופשי 
המוזג תמיד מגיש 
חי אני כמו הדרוויש 

בלי פרוטה ובלי שעון 
מטייל לי בלי חשבון 
מאחר תמיד לישון 
במועדון תמיד ראשון 
אין לי בית אין לי כלטוןם 
רק שטרות חוב לא חתום 
אין לי עסק אין מיסים 
אין לי דולר בכיסים 

כמו זאב אני בודד 
בלילות אני נודד 
מבר לבר על שפת הים 
וצוחק על העולם 
עם סיגריה וכוסית 
על הבר תמיד חופשי 
המוזג תמיד מגיש 
חי אני כמו הדרוויש",דני שושן
"אבי ביטר
",מביט מרחוק,20/07/11,"אל תזכירו לי את זאת האהבה 
אל תראו לי את התמונות לא רוצה אותה 
אל תדברו יותר על זאת האהבה 
אל תראו לי את התמונות אל תזכירו לי אותה 
אני רוצה לשכוח את כל מה שהיה 
אל תספרו לי כלום אם תראו אותה 
אני רוצה לשכוח את כל מה שהיה 
אל תספרו לי כולם אם תראו אותה 

האהבה הזאת שרפה לי ת'נשמה 
האהבה הזאת היא רק התנקמה 
ת'אהבה הזאת לא רוצה יותר 
על אהבה כזאת כדאי כבר לבתר 
שרפתי ת'תמונות מחקתי גם את שמה 
קיללתי את היום שהתאהבתי בה 
אל תדברו יותר על זאת האהבה 

חבל על השנים שבזבזתי בשבילה 
חבל על הדמעות שזלגו לי בגללה 
אם תראו אותה אל תדברו עלי 
ואם אני אבכה אל תרחמו עלי 
אני רוצה לשכוח את זאת האהבה 
אל תזכירו לי אל תראו לי אף תמונה 
אני רוצה לשכוח כל מה שהיה 
אל תספרו לי כלום אם תראו אותה 

האהבה הזאת שרפה לי ת'נשמה...",אבי ביטר
"אבי ביטר
",מאיה,04/08/11,"איתך כבר יש לי הכל 
ואין יותר מה לומר 
תראי איך מהאתמול 
כמעט וכלום לא נשאר 
כשאת נגעת בידי 
כל העולם נעצר 
רוצה אותך לצידי 
עד כמה שרק אפשר 

האהבה משגעת אותי ואותך 
ואיך אותי את לוקחת ליופי שבך 
ממריא איתך לשמיים אוהב רק אותך 
ואיך שבי את נוגעת הלב שוב נפתח 

רוצה רק אותך 
מה קורה לי 
מה עובר בי 
זה בוער בי 
מה קורה לי 

את מה שלי את תתני 
אני אתן לך יותר 
אני רוצה שתדעי 
עלייך לא אוותר 
פתחי לי שוב את ליבך 
ותני לי קצת אהבה 
כל עולמי בידך 
כי את אחת יחידה",צ'ולי זכאי
"אבי ביטר
",מאוהב יא לאלי,27/07/11,"איתך כבר יש לי הכל 
ואין יותר מה לומר 
תראי איך מהאתמול 
כמעט וכלום לא נשאר 
כשאת נגעת בידי 
כל העולם נעצר 
רוצה אותך לצידי 
עד כמה שרק אפשר 

האהבה משגעת אותי ואותך 
ואיך אותי את לוקחת ליופי שבך 
ממריא איתך לשמיים אוהב רק אותך 
ואיך שבי את נוגעת הלב שוב נפתח 

רוצה רק אותך 
מה קורה לי 
מה עובר בי 
זה בוער בי 
מה קורה לי 

את מה שלי את תתני 
אני אתן לך יותר 
אני רוצה שתדעי 
עלייך לא אוותר 
פתחי לי שוב את ליבך 
ותני לי קצת אהבה 
כל עולמי בידך 
כי את אחת יחידה",צ'ולי זכאי
"אבי ביטר
",ללכת בדרך שלך,01/08/11,"זה השיר שלנו והוא לא יגמר 
כל מילה כואבת עלינו תספר 
רק אני ואת ידענו לאהוב 
גם אם התרחקנו השיר נשאר קרוב 

האהבה שלנו היתה כל כך יפה 
האהבה בוערת עם כל הנשמה 
עכשיו אנחנו לא ביחד והשיר כל כך כואב 
זה השיר שלנו והוא לא יגמר 

כשהיינו יחד הכל היה זוהר 
גם הכינורות בוכים כשהרגש מדבר 
איך אהבתי אותך עם הצחוק והגומה 
גם ביום שנפרדנו נתת לי נשיקה 

האהבה שלנו היתה כל כך יפה...",אבי ביטר
"אבי ביטר
",לבד,27/07/11,"זוכר אחי את מילותיך 
את הכאב שבענייך 
שראיתי אותי נפגע מאש האהבה 
אח קטן אותך הזהרתי 
את הכאב שלך כאבתי 
איך שיחקה היא בליבך 
ולא השאירה בו תקווה 

איך הלב שלי נשבר 
מה לעשות אח יקר 
הכאב כל יום גובר 
איך הלכה היא עם אחר 
אני יודע אח קטן 
שליבך כמו נדם 
שהכאב כל יום גובר 
אז אחי אל תשבר 

אח יקר מדוכא הייתי 
הלב אהב ולא ראיתי 
איך אותי היא מנצלת 
ובליבי רק משחקת 
אחי ביחד נתגבר 
יהיו ימים טובים יותר 
האהבה תיגע בך 
ותרפא את כאבך 

איך הלב שלי נשבר...",יוש גרנות
"אבי ביטר
",לאהוב בלי הפסקה,01/08/11,"את אישה וגם ילדה 
את חושי את מטריפה 
אהבתך אותי שבתה 
ואת יפה ומתוקה 

את רוצה תמיד לרקוד 
אך רגלייך קצת עיפות 
את רואה הכל ורוד 
בעינייך המתוקות 

לא ישנתי בגללך 
זה הולך ומסתבך 
אני חי בעולמך 
שבוי אני ברשתך 

משכת אותי אל חוף הים 
מתעטף בך עד זריחה 
את חודרת אל הדם 
אין לי רגע מנוחה 

וכשאת סוף סוף עייפת 
כתינוקת את נרדמת 
המלאך ממך ניבט 
בסערה אותי כבש 

לא ישנתי בגללך...",דני שושן
"אבי ביטר
",לא משחק עם הלב,16/04/12,"איך לא ידעתי שככה יהיה 
בשקט הלכתי כי הלב לא דיבר
אחרי הלכתי הייתי עיוור 
הקסמים שעשתה לי זה היה מסחרר
איזה עולם כמה חרם 
בשבילה הפכתי את כל העולם

הייתי טיפש שיחקתי באש
אהבתי אותה אני למתבייש
היא הייתה כזאת מתוקה 
כזאת יפה 
אה אה אה אה אה
הרגש עבד לי הייתי שיכור
ביום שנפרדנו כבה לי האור 
אף אחד לא אמר לי שאלי היא תחזור
ביום ובלילה הייתי שיכור 

הימים עברו כמו שנים
לך חכתי ברוחות בגשמים
אויי כמה בכיתי אין לי מילים
ישבתי חכתי כמו ילד תמים
הלב לא דיבר והרגש שתק 
הבנתי שהיא נצחה במשחק 

הייתי טיפש שיחקתי באש
אהבתי אותה אני למתבייש
היא הייתה כזאת מתוקה 
כזאת יפה 
אה אה אה אה אה
הרגש עבד לי הייתי שיכור
ביום שנפרדנו כבה לי האור 
אף אחד לא אמר לי שאלי היא תחזור
ביום ובלילה הייתי שיכור",אבי ביטר
"אבי ביטר
",כשאת בוכה,27/07/11,"כל מה שאני סובל כואב לי כל כך 
הזמן עוד יעבור ואשכח אותך 
אהבה כזאת לא מגיע לך 
כל מה שעשיתי לי שיעשו גם לך 

את עוד תבכי ואני אצחק 
יום אחד תביני שאני לא משחק 
הדמעות שלך יזכירו לך 
את הימים שאהבתי אותך 

בלילות קרים בלי כוכבים 
ראית אותי לבד ולא הושטת לי יד 
בקשתי מאלוקים שישמע את תפילתי 
כמו שאני בוכה שגם את תבכי 

את עוד תבכי ואני אצחק...",אבי ביטר
"אבי ביטר
",כריש בעולם התחתון,01/08/11,"כל מה שאני סובל כואב לי כל כך 
הזמן עוד יעבור ואשכח אותך 
אהבה כזאת לא מגיע לך 
כל מה שעשיתי לי שיעשו גם לך 

את עוד תבכי ואני אצחק 
יום אחד תביני שאני לא משחק 
הדמעות שלך יזכירו לך 
את הימים שאהבתי אותך 

בלילות קרים בלי כוכבים 
ראית אותי לבד ולא הושטת לי יד 
בקשתי מאלוקים שישמע את תפילתי 
כמו שאני בוכה שגם את תבכי 

את עוד תבכי ואני אצחק...",אבי ביטר
"אבי ביטר
",כמו נרקומן,27/07/11,"מול פנס הרחוב 
בכניסה לשוק 
מסתובב לו שיכור 
בידו בקבוק 
הוא סיפר לי כיצד 
נהרסו חייו 
רק בגלל אישה 
שאותה אהב 
רכושו נתן לה 
ואת נשמתו 
יום אחד היא קמה 
ועזבה אותו 
יום אחד היא קמה 
ונטשה אותו 

הישמר לך 
מהאהבות 
כי בסוף הדרך 
יש רק אכזבות 
זכור מה שאמרתי 
ואל תתאהב 
אל תהיה כמוני 
אל תיקח ללב 
אל תהיה כמוני 
ואל תתאהב 

יום אחד גם אני 
מצאתי לי אישה 
ואותה אהבתי 
נשמתי כבשה 
היא היתה חלומי 
היא היתה אושרי 
יום אחד היא קמה 
ועזבה אותי 
בשיכור נזכרתי 
הוא ואזהרתו 
ולשוק הלכתי 
לחפש אותו 
אבל אף אחד 
לא זכר את שמו 

הישמר לך...",יוש גרנות
"אבי ביטר
",כאב ואכזבות,27/07/11,"שהיה לי טוב היית קרוב 
אתה היית החבר הכי הטוב 
לא טעינו והיינו כמו אחים 
הסודות שלנו ידע רק אלוקים 

אתה היית החבר הכי הטוב 
שנפלתי איך יכולת לעזוב 
אין מחיר לבגידה ולכאב 
חבר אני אותך כבר לא אוהב 

כמה כואב כמה כואב 
שהחבר הכי הטוב אותך עוזב 
אוי אלוקים אוי אלוקים 
אני והוא היינו כמו אחים 

יש כאב שגם הזמן לא מרפא 
על הטעות הזאת כל החיים תבכה 
אותך אני שואל אלוקים הטוב 
איך בגד בי החבר הכי הטוב 

בדרך שבחרנו יש הרבה חוקים 
בחורים טובים אף פעם לא טועים 
אין לך תקווה עשית טעות 
לא כדאי לך לחיות עדיף לך למות 

כמה כואב כמה כואב...",אבי ביטר
"אבי ביטר
",יסורי אהבה,20/07/11,"היית לי חבר ואח 
הכל בינינו כך נשכח 
עזרתי גם בשעת צרה 
אמור אחי מה קרה 

גדלנו באותה שכונה 
דומים היינו כמו תמונה 
אכלנו מאותה קופסא 
עישננו מאותה קופסא 
אך מאותה קופסא 

עד שיום אחד זה בא 
הבאתי הביתה נערה 
אותה לקחת מליבי 
איך אחי פגעת בי",דני שושן
